"","index","airport","city","country","IATA","ICAO","latitude","longitude","altitude","timezone","DST","tz_database","type","source"
"315",317,"Bautzen Airport","Bautzen","Germany","\N","EDAB",51.1936111450195,14.5197219848633,568,"1","E","Europe/Berlin","airport","OurAirports"
"316",318,"Altenburg-Nobitz Airport","Altenburg","Germany","AOC","EDAC",50.9819450378418,12.5063886642456,640,"1","E","Europe/Berlin","airport","OurAirports"
"317",319,"Dessau Airport","Dessau","Germany","\N","EDAD",51.831693541,12.1909618378,187,"1","E","Europe/Berlin","airport","OurAirports"
"318",320,"Eisenhüttenstadt Airport","Eisenhuettenstadt","Germany","\N","EDAE",52.195856,14.58753,144,"1","E","Europe/Berlin","airport","OurAirports"
"319",322,"Großenhain Airport","Suhl","Germany","\N","EDAK",51.3080558776855,13.5555562973022,417,"1","E","Europe/Berlin","airport","OurAirports"
"320",323,"Merseburg Airport","Muehlhausen","Germany","\N","EDAM",51.3630556,11.9408333,341,"1","E","Europe/Berlin","airport","OurAirports"
"321",324,"Halle-Oppin Airport","Halle","Germany","\N","EDAQ",51.552223,12.053889,348,"1","E","Europe/Berlin","airport","OurAirports"
"322",325,"Riesa-Göhlis Airport","Riesa","Germany","\N","EDAU",51.2936096191,13.3561105728,322,"1","E","Europe/Berlin","airport","OurAirports"
"323",326,"Rechlin-Lärz Airport","Rechlin-laerz","Germany","\N","EDAX",53.306388855,12.7522220612,220,"1","E","Europe/Berlin","airport","OurAirports"
"324",327,"Strausberg Airport","Strausberg","Germany","\N","EDAY",52.5805549621582,13.9166669845581,262,"1","E","Europe/Berlin","airport","OurAirports"
"325",328,"Schönhagen Airport","Schoenhagen","Germany","\N","EDAZ",52.2036094666,13.1563892365,131,"1","E","Europe/Berlin","airport","OurAirports"
"326",329,"Barth Airport","Barth","Germany","BBH","EDBH",54.338253,12.710515,23,"1","E","Europe/Berlin","airport","OurAirports"
"327",330,"Jena-Schöngleina Airport","Jena","Germany","\N","EDBJ",50.9152793884277,11.7144441604614,1247,"1","E","Europe/Berlin","airport","OurAirports"
"328",331,"Kyritz Airport","Kyritz","Germany","\N","EDBK",52.918888092041,12.4252777099609,131,"1","E","Europe/Berlin","airport","OurAirports"
